co2,humidity,pressure,temperature,soil_ec,soil_humidity,soil_temperature,volume_L,gdd,standard_day_degree,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units,line,heure_sin,heure_cos,vpd_kpa,volume_L_roll_3h,soil_humidity_roll_3h,target_volume_L
635.0,61.0,1010.7,24.5,341.5,28.39,23.53333333333333,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,1.0,6.123233995736766e-17,1.1991131298438202,0.0,28.39,30.0
452.5,37.333333333333336,1010.5500000000001,39.833333333333336,320.14285714285717,21.560000000000002,27.24285714285714,30.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.2588190451025208,-0.9659258262890683,4.581152778891048,15.0,24.975,1.0
445.6666666666667,33.5,1009.8833333333333,35.65,495.6666666666667,23.340000000000003,27.46666666666667,1.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.4999999999999997,-0.8660254037844388,3.8755236442358716,10.333333333333334,24.430000000000003,123.0
444.5,35.166666666666664,1009.3166666666666,34.36666666666667,511.6666666666667,23.320000000000004,28.03333333333333,123.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.7071067811865471,-0.7071067811865479,3.5196866234743247,51.333333333333336,22.740000000000006,0.0
437.8333333333333,35.583333333333336,1009.0833333333334,33.96666666666667,520.3333333333334,23.350000000000005,28.53333333333333,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.8660254037844385,-0.5000000000000004,3.420135798605763,41.333333333333336,23.336666666666673,0.0
449.0,39.25,1008.9833333333332,31.783333333333335,523.6666666666666,23.3,28.849999999999998,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.9659258262890683,-0.25881904510252063,2.8533475607428365,41.0,23.323333333333338,0.0
456.6666666666667,46.0,1009.2166666666667,27.433333333333334,526.5,23.265,28.78333333333333,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-1.0,-1.8369701987210297e-16,1.9747744587282121,0.0,23.305000000000003,0.0
460.5,47.916666666666664,1009.3333333333334,25.416666666666668,528.6666666666666,23.213333333333335,28.349999999999998,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.9659258262890684,0.2588190451025203,1.6912783145777261,0.0,23.259444444444444,0.0
462.1666666666667,48.75,1009.6500000000001,24.96666666666667,529.4,23.14,27.880000000000003,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.8660254037844386,0.5000000000000001,1.6202654202800588,0.0,23.206111111111113,0.0
472.1666666666667,55.583333333333336,1009.7333333333332,23.483333333333334,527.8333333333334,23.11,27.45,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.7071067811865477,0.7071067811865474,1.2848073073544453,0.0,23.154444444444447,0.0
